,index,Movie,P_Genre,S_Genre,T_Genre,Cluster_Id
331,438,logan,8,16,0,62
332,439,rush,8,14,18,28
333,440,ford v ferrari,8,14,18,28
334,441,mad max: fury road,8,6,0,27
335,442,a wednesday,8,19,18,2
336,443,how to train your dragon,5,4,7,0
337,444,pirates of the caribbean: the curse of the black pearl,8,6,2,6
338,445,hera pheri,8,5,22,41
339,446,sarfarosh,8,16,16,54
340,447,the iron giant,5,4,7,0
341,448,blade runner,8,16,0,62
342,449,sholay,8,6,6,17
343,450,kakushi-toride no san-akunin,8,6,18,137
344,451,white heat,8,19,18,2
345,452,guardians of the galaxy,8,6,6,17
346,453,blade runner 2049,8,16,19,84
347,454,the revenant,8,6,18,137
348,455,tropa de elite 2: o inimigo agora é outro,8,19,18,2
349,456,deadpool,8,6,6,17
350,457,zack snyder's justice league,8,6,2,6
351,458,ip man,8,14,18,28
352,459,dune: part one,8,6,18,137
353,460,tropa de elite,8,19,18,2
354,462,the bourne ultimatum,8,17,16,93
355,463,taegukgi hwinalrimyeo,8,16,9,71
356,464,casino royale,8,6,16,78
357,465,kill bill: vol. 2,8,19,16,26
358,466,mou gaan dou,8,19,18,2
359,467,the incredibles,5,4,7,0
360,468,"shin seiki evangelion gekijô-ban: air/magokoro wo, kimi ni",5,4,18,76
361,469,andaz apna apna,8,5,3,99
362,470,akira,5,4,18,76
363,471,sanjuro,8,16,16,54
364,472,minnal murali,8,6,6,17
365,473,airlift,8,16,8,5
366,474,baby,8,19,16,26
367,475,thor: ragnarok,8,6,6,17
368,476,serbuan maut 2: berandal,8,19,16,26
369,477,x-men: days of future past,8,6,0,27
370,478,the batman,8,19,18,2
371,479,edge of tomorrow,8,6,0,27
372,480,nefes: vatan sagolsun,8,16,16,54
373,481,district 9,8,0,16,29
374,483,letters from iwo jima,8,6,18,137
375,484,iron man,8,6,0,27
376,485,ying xiong,8,6,18,137
377,486,the bourne identity,8,17,16,93
378,487,children of men,8,16,0,62
379,488,wo hu cang long,8,6,18,137
380,489,knockin' on heaven's door,8,19,6,37
381,490,kôkaku kidôtai,5,4,22,73
382,491,the blues brothers,8,6,6,17
383,492,the wild bunch,8,6,21,14
384,493,per un pugno di dollari,8,16,21,63
385,494,the adventures of robin hood,8,6,3,102
386,495,the gentlemen,8,5,22,41
387,496,doragon bôru chô: burorî,5,4,7,0
388,497,dunkirk,8,16,8,5
389,498,rogue one,8,6,0,27
390,499,captain america: civil war,8,6,0,27
391,500,star wars: episode vii - the force awakens,8,6,0,27
392,501,big hero 6,5,4,7,0
393,502,captain america: the winter soldier,8,6,0,27
394,503,how to train your dragon 2,5,4,7,0
395,504,ang-ma-reul bo-at-da,8,19,18,2
396,505,captain phillips,8,14,22,32
397,506,chugyeokja,8,19,18,2
398,507,skyfall,8,6,16,78
399,508,the fighter,8,14,18,28
400,509,taken,8,19,16,26
401,510,avatar,8,6,2,6
402,511,apocalypto,8,6,18,137
403,512,hot fuzz,8,5,19,123
404,513,serenity,8,6,0,27
405,514,cowboy bebop: tengoku no tobira,5,4,22,73
406,515,gongdong gyeongbi guyeok jsa,8,16,16,54
407,516,jûbê ninpûchô,5,4,7,0
408,517,the fugitive,8,19,18,2
409,518,batman: mask of the phantasm,5,4,7,0
410,519,dip huet seung hung,8,19,18,2
411,520,predator,8,6,10,111
412,521,ghostbusters,8,5,2,83
413,522,"aguirre, der zorn gottes",8,6,15,35
414,523,raazi,8,16,16,54
415,524,deadpool 2,8,6,6,17
416,525,mission: impossible - fallout,8,6,16,78
417,526,udta punjab,8,19,18,2
418,527,kubo and the two strings,5,4,7,0
419,528,kingsman: the secret service,8,6,6,17
420,529,ajeossi,8,19,18,2
421,530,the lego movie,5,4,7,0
422,531,gravity,8,16,0,62
423,532,star trek into darkness,8,6,0,27
424,533,x: first class,8,6,0,27
425,534,3:10 to yuma,8,19,18,2
426,535,kung fu,8,5,2,83
427,536,the bourne supremacy,8,17,16,93
428,537,man on fire,8,19,18,2
429,538,black hawk down,8,16,8,5
430,539,the count of monte cristo,8,6,18,137
431,540,minority report,8,19,19,107
432,541,training day,8,19,18,2
433,542,lola rennt,8,19,16,26
434,543,the last of the mohicans,8,6,18,137
435,544,lat sau san taam,8,19,16,26
436,545,star trek ii: the wrath of khan,8,6,0,27
437,546,first blood,8,6,16,78
438,547,badlands,8,19,18,2
439,548,the french connection,8,19,18,2
440,549,dirty harry,8,19,16,26
441,550,the dirty dozen,8,6,9,33
442,551,bonnie and clyde,8,14,22,32
443,552,goldfinger,8,6,16,78
444,553,the longest day,8,16,8,5
445,554,the magnificent seven,8,6,21,14
446,555,key largo,8,19,18,2
447,556,scarface,8,19,18,2
448,557,pushpa: the rise - part 1,8,6,22,97
449,558,ölümlü dünya,8,5,22,41
450,559,ludo,8,5,22,41
451,560,busanhaeng,8,9,16,34
452,561,hotel mumbai,8,16,8,5
453,562,guardians of the galaxy vol. 2,8,6,6,17
454,563,baby driver,8,19,18,2
455,564,only the brave,8,14,18,28
456,565,incredibles 2,5,4,7,0
457,566,sicario,8,19,18,2
458,567,creed,8,16,1,16
459,568,dawn of the planet of the apes,8,6,18,137
460,569,el cuerpo,8,19,18,2
461,570,serbuan maut,8,19,16,26
462,571,end of watch,8,6,22,97
463,572,rise of the planet of the apes,8,16,0,62
464,573,kick-ass,8,5,22,41
465,574,celda 211,8,19,18,2
466,575,zombieland,8,5,10,124
467,576,sherlock holmes,8,6,19,106
468,577,united 93,8,16,8,5
469,578,huo yuan jia,8,14,18,28
470,579,kung fu panda,5,4,7,0
471,580,harry potter and the half-blood prince,8,6,20,89
472,581,watchmen,8,16,19,84
473,582,batoru rowaiaru,8,6,18,137
474,583,vampire hunter d: bloodlust,5,4,18,76
475,584,enemy at the gates,8,16,9,71
476,585,star wars: episode iii - revenge of the sith,8,6,2,6
477,586,the fifth element,8,6,0,27
478,587,star trek: first contact,8,6,18,137
479,588,die hard: with a vengeance,8,6,16,78
480,589,falling down,8,19,18,2
481,590,the hunt for red october,8,6,16,78
482,591,robocop,8,19,0,64
483,592,lethal weapon,8,19,16,26
484,593,mad max 2,8,6,0,27
485,594,rupan sansei: kariosutoro no shiro,5,4,7,0
